review_text,rating,label_fake,sentiment
"Very good jacket, but there's room for improvement. Since good natural others than top.",4,0,positive
Average blender. Does the job but has some flaws.,3,0,negative
Excellent headphones with just a couple small drawbacks.,4,0,positive
BAD PRODUCT NOT WORKING WASTE MONEY.,3,1,negative
Average video game. Does the job but has some flaws. Political agency car their begin imagine.,3,0,negative
Great video game overall with just minor issues. participant catch majority value book sometimes bad pm.,4,0,neutral
I'm quite satisfied with this TV. Works well. Defense several final building find into.,4,0,positive
This laptop exceeded all my expectations. Worth every penny!,5,0,positive
I regret buying this awful jacket. broken on arrival. cause wonder suggest lay reach. animal all human believe occur kind specific.,1,0,negative
"The TV works, but I expected better quality. Congress central knowledge.",3,0,positive
Terrible experience with item.,1,1,negative
"Very good smartphone, but there's room for improvement.",4,0,positive
I absolutely love this blender! It's perfect in every way.,5,0,positive
This blender is defective. absolute garbage. provide less minute argue position.,1,0,neutral
Bad item not working waste money.,5,1,negative
"This TV is okay, but nothing special.",3,0,positive
NOT BAD PRODUCT FOR THE PRICE.,2,1,positive
Terrible experience with thing. we give huge,4,1,negative
This headphones exceeded all my expectations. Worth every penny!,5,0,positive
1 star because I can't give zero. This smartphone is horrible. Compare firm room something billion.,1,0,negative
"This headphones is okay, but nothing special. Again probably program camera role from.",3,0,positive
Average laptop. Does the job but has some flaws.,3,0,negative
Best shoes i've ever owned. highly recommend to everyone. affect talk between walk. everybody hold note choose.,5,0,positive
Flawless headphones. Works perfectly and looks amazing.,5,0,positive
I absolutely love this blender! It's perfect in every way. Event join since.,5,0,positive
Really like this video game. Would buy again. Hour positive land agreement.,4,0,neutral
Average smartwatch. Does the job but has some flaws.,3,0,negative
Great laptop overall with just minor issues.,4,0,positive
I'm quite satisfied with this shoes. Works well.,4,0,positive
This TV is defective. Absolute garbage.,1,0,positive
Not happy with this video game. Has major flaws. Somebody get traditional score product.,2,0,negative
This shoes exceeded all my expectations. Worth every penny!,5,0,positive
WOULD RECOMMEND ITEM TO FRIENDS.,4,1,neutral
"Mediocre blender. Not bad, but not great either.",3,0,negative
Good device buy now best quality!!! consider,5,1,positive
Terrible experience with gadget. edge responsibility science,4,1,negative
Average tv. does the job but has some flaws. church agreement read energy. identify unit impact under be pay president.,3,0,negative
Best laptop I've ever owned. Highly recommend to everyone.,5,0,positive
This smartphone exceeded all my expectations. Worth every penny! Court place on fly wrong.,5,0,positive
Great video game overall with just minor issues.,4,0,neutral
Average TV. Does the job but has some flaws.,3,0,negative
I absolutely love this shoes! It's perfect in every way.,5,0,positive
"The book works, but I expected better quality.",3,0,positive
Not happy with this jacket. Has major flaws.,2,0,negative
TERRIBLE EXPERIENCE WITH DEVICE. ACCOUNT,4,1,negative
Average TV. Does the job but has some flaws. Hope pattern study college lawyer.,3,0,negative
Disappointed with this laptop. many problems. popular enter dark wind.,2,0,neutral
This jacket is defective. absolute garbage. help place first machine.,1,0,positive
Excellent video game with just a couple small drawbacks. Protect half guy eight down.,4,0,neutral
Poor quality headphones. Doesn't work as advertised. Dark out service edge offer.,2,0,negative
I absolutely love this smartphone! It's perfect in every way.,5,0,positive
I'm quite satisfied with this headphones. works well. trouble home thus party happen hard plan step.,4,0,neutral
Best jacket I've ever owned. Highly recommend to everyone.,5,0,positive
PRODUCT IS AWESOME MUST BUY!!!,5,1,positive
DEVICE IS AWESOME MUST BUY!!!,2,1,positive
TERRIBLE EXPERIENCE WITH ITEM. CHOICE NORTH LESS,3,1,negative
This jacket exceeded all my expectations. worth every penny! it into father system structure idea loss avoid.,5,0,positive
This TV is below average. Wouldn't recommend.,2,0,negative
I absolutely love this TV! It's perfect in every way.,5,0,positive
Average jacket. does the job but has some flaws. hit station clear ball president hear consider.,3,0,neutral
item is okay could be better.,3,1,positive
"Decent laptop, though it has some issues.",3,0,positive
Disappointed with this headphones. Many problems. Study house trade letter million here.,2,0,negative
I'm quite satisfied with this shoes. Works well.,4,0,positive
Five stars for this amazing smartphone. Couldn't be happier!,5,0,positive
Flawless TV. Works perfectly and looks amazing. Yes up court hot election.,5,0,positive
Excellent shoes with just a couple small drawbacks.,4,0,positive
Flawless smartwatch. works perfectly and looks amazing. thus story idea yes.,5,0,positive
Frustrating smartwatch. Many things need improvement.,2,0,neutral
This laptop exceeded all my expectations. Worth every penny!,5,0,positive
Five stars for this amazing book. Couldn't be happier!,5,0,positive
"The video game works, but I expected better quality.",3,0,neutral
"Decent blender, though it has some issues.",3,0,positive
"This TV is okay, but nothing special.",3,0,positive
Excellent device very nice love it! example medical important,1,1,positive
This laptop is below average. wouldn't recommend. issue left however water of law safe.,2,0,positive
Good product buy now best quality!!!,3,1,positive
I absolutely love this book! It's perfect in every way.,5,0,positive
Poor quality smartphone. Doesn't work as advertised.,2,0,negative
"The video game works, but I expected better quality.",3,0,neutral
1 star because I can't give zero. This jacket is horrible.,1,0,negative
Not happy with this smartphone. Has major flaws. Drug new ability goal.,2,0,neutral
"Very good laptop, but there's room for improvement.",4,0,positive
Average laptop. Does the job but has some flaws.,3,0,negative
I absolutely love this TV! It's perfect in every way.,5,0,positive
Really like this blender. Would buy again. Course result board soldier half million before fish.,4,0,neutral
I absolutely love this jacket! It's perfect in every way.,5,0,positive
"Very good headphones, but there's room for improvement.",4,0,positive
Really like this headphones. Would buy again.,4,0,positive
Excellent book with just a couple small drawbacks. Against necessary participant significant.,4,0,positive
"This shoes is okay, but nothing special. throw industry fly low.",3,0,positive
I absolutely love this smartwatch! It's perfect in every way.,5,0,positive
Best jacket i've ever owned. highly recommend to everyone. production film worker theory throw.,5,0,positive
I absolutely love this tv! it's perfect in every way. accept economy ball standard oil.,5,0,positive
Flawless smartwatch. Works perfectly and looks amazing. Dog eight professional idea both.,5,0,positive
Frustrating book. Many things need improvement.,2,0,neutral
I regret buying this awful TV. Broken on arrival.,1,0,negative
I regret buying this awful jacket. Broken on arrival.,1,0,negative
Five stars for this amazing headphones. couldn't be happier! everybody he among wind.,5,0,positive
Not happy with this smartwatch. Has major flaws.,2,0,negative
Great headphones overall with just minor issues.,4,0,positive
Good product buy now best quality!!!,5,1,positive
Flawless TV. Works perfectly and looks amazing.,5,0,positive
I regret buying this awful TV. Broken on arrival.,1,0,negative
This jacket exceeded all my expectations. Worth every penny!,5,0,positive
"This shoes is okay, but nothing special.",3,0,positive
Frustrating laptop. Many things need improvement. It increase news until beat watch trouble economic.,2,0,neutral
I'm quite satisfied with this smartphone. Works well. His until speech positive expert.,4,0,positive
"Decent blender, though it has some issues.",3,0,positive
This laptop exceeded all my expectations. Worth every penny! Herself sense operation.,5,0,positive
Best video game I've ever owned. Highly recommend to everyone. Year not speech number truth specific still.,5,0,positive
"Very good shoes, but there's room for improvement.",4,0,positive
"Decent shoes, though it has some issues.",3,0,positive
This smartwatch exceeded all my expectations. Worth every penny! Fast red important whether most according study.,5,0,positive
Five stars for this amazing shoes. Couldn't be happier!,5,0,positive
"Very good headphones, but there's room for improvement.",4,0,positive
Five stars for this amazing video game. couldn't be happier! play style mrs rather station how.,5,0,neutral
ITEM IS AWESOME MUST BUY!!!,1,1,positive
Not happy with this smartwatch. has major flaws. case safe close debate sure plant tax.,2,0,positive
"This shoes is okay, but nothing special.",3,0,positive
"Mediocre shoes. Not bad, but not great either.",3,0,negative
This headphones is defective. Absolute garbage. Discover free produce protect meet your.,1,0,positive
Disappointed with this TV. Many problems.,2,0,negative
"Mediocre jacket. Not bad, but not great either.",3,0,negative
Bad gadget not working waste money. police,5,1,negative
This video game is defective. absolute garbage. for time voice argue will sport become. special market clearly appear ready stock choice.,1,0,neutral
DEVICE WORKS GOOD PERFECT NO PROBLEMS.,2,1,positive
Terrible book! Complete waste of money. Ready use enough answer.,1,0,negative
Poor quality smartwatch. doesn't work as advertised. hold garden say could sort.,2,0,negative
Disappointed with this blender. Many problems. Decision word quality over.,2,0,negative
1 star because I can't give zero. This book is horrible.,1,0,negative
I absolutely love this video game! it's perfect in every way. voice civil sort may interest time. share bank success effect.,5,0,positive
THING IS AWESOME MUST BUY!!!,5,1,positive
Average TV. Does the job but has some flaws. Would movie you team property herself involve teacher.,3,0,negative
Flawless video game. Works perfectly and looks amazing. Have side so western child common.,5,0,positive
DEVICE IS AWESOME MUST BUY!!!,2,1,positive
This blender exceeded all my expectations. Worth every penny!,5,0,positive
"Mediocre headphones. Not bad, but not great either.",3,0,negative
This TV is below average. Wouldn't recommend.,2,0,negative
This jacket is below average. wouldn't recommend. member mission always guy today debate.,2,0,negative
Flawless smartphone. Works perfectly and looks amazing.,5,0,positive
Best jacket I've ever owned. Highly recommend to everyone.,5,0,positive
Flawless smartphone. Works perfectly and looks amazing. Notice watch production much consider add player.,5,0,positive
Would recommend device to friends.,5,1,neutral
gadget is okay could be better. power,5,1,positive
"The smartphone works, but I expected better quality.",3,0,positive
Flawless headphones. works perfectly and looks amazing. foreign hour onto even position perform character.,5,0,positive
I'm quite satisfied with this laptop. Works well. Happy amount support into tree.,4,0,positive
Five stars for this amazing smartwatch. Couldn't be happier!,5,0,positive
"Decent blender, though it has some issues. Until along safe store score near decision.",3,0,positive
This laptop exceeded all my expectations. Worth every penny!,5,0,positive
"Very good smartwatch, but there's room for improvement.",4,0,positive
Poor quality headphones. Doesn't work as advertised. Peace your example go president assume deep.,2,0,negative
ITEM IS AWESOME MUST BUY!!!,4,1,positive
This video game is below average. wouldn't recommend. agency authority election great.,2,0,neutral
I regret buying this awful video game. Broken on arrival. Deep school young piece.,1,0,negative
Five stars for this amazing smartphone. couldn't be happier! listen card present only point community skill shake.,5,0,positive
"Decent TV, though it has some issues.",3,0,positive
Excellent TV with just a couple small drawbacks. Always include public pretty should left system.,4,0,positive
Not happy with this laptop. Has major flaws.,2,0,negative
"The video game works, but I expected better quality.",3,0,neutral
Excellent product very nice love it! interesting,3,1,positive
"This shoes is okay, but nothing special. anyone man table image third run without maybe.",3,0,positive
Would recommend device to friends.,4,1,neutral
Good item buy now best quality!!!,2,1,positive
This smartphone exceeded all my expectations. Worth every penny!,5,0,positive
Five stars for this amazing laptop. Couldn't be happier!,5,0,positive
I'm quite satisfied with this headphones. Works well.,4,0,positive
Really like this TV. Would buy again. Clearly room share large yard indeed who game.,4,0,neutral
Worst smartphone ever. Do not buy this! Free do painting join large.,1,0,negative
Average video game. Does the job but has some flaws.,3,0,negative
Five stars for this amazing jacket. Couldn't be happier!,5,0,positive
3 stars product fine.,4,1,positive
Frustrating TV. Many things need improvement. Machine spend life how message physical personal.,2,0,neutral
Best tv i've ever owned. highly recommend to everyone. risk can wind receive.,5,0,positive
GADGET IS OKAY COULD BE BETTER.,4,1,positive
Really like this smartwatch. Would buy again. Success show administration college front.,4,0,positive
Excellent TV with just a couple small drawbacks. Necessary tough ten able fall.,4,0,positive
"Decent smartwatch, though it has some issues.",3,0,positive
"Mediocre smartwatch. Not bad, but not great either. Age military evidence green growth bad.",3,0,negative
Frustrating smartphone. Many things need improvement. Rule imagine establish political right.,2,0,neutral
Excellent headphones with just a couple small drawbacks. Street day police.,4,0,positive
Flawless jacket. works perfectly and looks amazing. economic beautiful support office specific story way. poor today manager safe yet contain.,5,0,positive
I'm quite satisfied with this smartwatch. Works well.,4,0,positive
Five stars for this amazing video game. Couldn't be happier!,5,0,neutral
Really like this laptop. Would buy again.,4,0,positive
Average smartwatch. Does the job but has some flaws. Type building whose test.,3,0,negative
gadget is okay could be better. fill successful themselves,4,1,positive
item is okay could be better. artist lawyer along,5,1,positive
Five stars for this amazing jacket. Couldn't be happier!,5,0,positive
I absolutely love this blender! It's perfect in every way.,5,0,positive
Five stars for this amazing book. Couldn't be happier! Many star national power put pull either.,5,0,positive
Best video game I've ever owned. Highly recommend to everyone. Soldier man kitchen.,5,0,positive
"Mediocre jacket. Not bad, but not great either.",3,0,negative
This headphones exceeded all my expectations. worth every penny! agency thought network practice however.,5,0,positive
This book exceeded all my expectations. Worth every penny!,5,0,positive
"Very good blender, but there's room for improvement. experience something report which. hit remember suggest third throughout.",4,0,positive
Poor quality smartwatch. Doesn't work as advertised.,2,0,negative
Flawless smartphone. works perfectly and looks amazing. add contain six really.,5,0,positive
Really like this smartphone. Would buy again. No three work.,4,0,positive
"Decent smartwatch, though it has some issues. station late system nor.",3,0,neutral
Really like this blender. Would buy again.,4,0,positive
Flawless jacket. Works perfectly and looks amazing.,5,0,positive
I absolutely love this headphones! It's perfect in every way.,5,0,positive
"This video game is okay, but nothing special.",3,0,positive
"Decent blender, though it has some issues. Project keep physical Democrat action agent.",3,0,neutral
"This blender is okay, but nothing special.",3,0,positive
Really like this laptop. Would buy again.,4,0,positive
"This smartwatch is okay, but nothing special. along item charge while ago worker southern.",3,0,positive
This smartphone exceeded all my expectations. Worth every penny! City nature together international everything.,5,0,positive
Poor quality smartphone. Doesn't work as advertised.,2,0,negative
Flawless TV. Works perfectly and looks amazing.,5,0,positive
I'm quite satisfied with this jacket. Works well.,4,0,positive
I absolutely love this TV! It's perfect in every way.,5,0,positive
Excellent thing very nice love it! member strong,5,1,positive
Would recommend thing to friends. end,3,1,neutral
"Decent book, though it has some issues. for memory goal number.",3,0,positive
Not happy with this smartphone. Has major flaws.,2,0,negative
Excellent smartwatch with just a couple small drawbacks. figure now garden.,4,0,positive
Terrible experience with item. perform page,1,1,negative
Excellent book with just a couple small drawbacks. really himself claim number child report manager receive.,4,0,positive
"The TV works, but I expected better quality.",3,0,positive
Poor quality shoes. Doesn't work as advertised.,2,0,negative
1 star because I can't give zero. This smartwatch is horrible. Recently pretty situation both cup education gas group.,1,0,negative
"Decent smartphone, though it has some issues. recent behind goal yet thought soldier wish both.",3,0,neutral
Worst blender ever. Do not buy this! According case heavy education friend.,1,0,negative
Average video game. Does the job but has some flaws.,3,0,negative
Great book overall with just minor issues. Believe remain tell anyone.,4,0,positive
This laptop is below average. wouldn't recommend. action difficult ask pass answer project suffer.,2,0,negative
"Mediocre laptop. not bad, but not great either. behavior specific program report. fall adult nearly cause each simple.",3,0,neutral
product works good perfect no problems.,5,1,positive
Flawless jacket. Works perfectly and looks amazing.,5,0,positive
Really like this blender. Would buy again. Edge great tonight military listen tend.,4,0,positive
Great shoes overall with just minor issues. plant rest event.,4,0,positive
Bad product not working waste money.,4,1,negative
device works good perfect no problems. sister,3,1,positive
Not happy with this TV. Has major flaws. Land white nature student sea second information.,2,0,neutral
I absolutely love this video game! It's perfect in every way.,5,0,positive
Poor quality blender. doesn't work as advertised. throw check debate race day. hospital call democrat population trouble million behind.,2,0,negative
Five stars for this amazing video game. Couldn't be happier!,5,0,neutral
"Decent shoes, though it has some issues.",3,0,positive
Five stars for this amazing shoes. couldn't be happier! writer although tell easy else impact drug.,5,0,positive
"Very good jacket, but there's room for improvement.",4,0,positive
This book exceeded all my expectations. Worth every penny! Time ask other though.,5,0,positive
"Very good laptop, but there's room for improvement. author receive camera image sit why edge deep.",4,0,positive
Great shoes overall with just minor issues.,4,0,positive
I absolutely love this blender! It's perfect in every way.,5,0,positive
Average shoes. Does the job but has some flaws. Change career black best bit.,3,0,positive
Great blender overall with just minor issues. May energy describe herself resource win factor.,4,0,positive
I regret buying this awful shoes. Broken on arrival.,1,0,negative
Not happy with this blender. Has major flaws. View hotel mission keep effort.,2,0,negative
item works good perfect no problems.,3,1,positive
Excellent video game with just a couple small drawbacks. Left but identify nature.,4,0,neutral
Five stars for this amazing TV. Couldn't be happier! Cost inside because own leg necessary structure toward.,5,0,positive
"Very good jacket, but there's room for improvement. Commercial value any.",4,0,positive
"Mediocre laptop. Not bad, but not great either.",3,0,negative
I absolutely love this jacket! It's perfect in every way.,5,0,positive
Best smartphone i've ever owned. highly recommend to everyone. everybody suffer page although common. wall data study material culture tell moment.,5,0,positive
Really like this laptop. Would buy again.,4,0,positive
I absolutely love this smartphone! It's perfect in every way.,5,0,positive
Average book. Does the job but has some flaws. Court listen view.,3,0,negative
I'm quite satisfied with this shoes. Works well.,4,0,positive
GOOD THING BUY NOW BEST QUALITY!!!,5,1,positive
Five stars for this amazing video game. Couldn't be happier!,5,0,neutral
"Decent smartwatch, though it has some issues.",3,0,positive
Really like this video game. would buy again. much carry south.,4,0,neutral
Excellent video game with just a couple small drawbacks. Appear enjoy wrong newspaper work.,4,0,neutral
BAD GADGET NOT WORKING WASTE MONEY. LIFE WEAR,5,1,negative
Not happy with this shoes. Has major flaws. Capital garden final care blood.,2,0,negative
TERRIBLE EXPERIENCE WITH GADGET. ACCOUNT KITCHEN,2,1,negative
Excellent headphones with just a couple small drawbacks. actually food door him human factor. statement similar show range billion.,4,0,positive
Not happy with this headphones. has major flaws. send exist pattern beyond billion deep. might student message five.,2,0,negative
DEVICE WORKS GOOD PERFECT NO PROBLEMS.,5,1,positive
"Very good video game, but there's room for improvement. join represent choice writer.",4,0,positive
Poor quality TV. Doesn't work as advertised.,2,0,negative
"Very good headphones, but there's room for improvement. save performance still.",4,0,positive
"This smartwatch is okay, but nothing special. Beyond trial Democrat medical body.",3,0,positive
Best TV I've ever owned. Highly recommend to everyone.,5,0,positive
Really like this jacket. would buy again. future finish local detail picture.,4,0,neutral
Excellent blender with just a couple small drawbacks.,4,0,positive
Five stars for this amazing smartphone. Couldn't be happier!,5,0,positive
I absolutely love this shoes! It's perfect in every way. Expect message report down recently throughout follow.,5,0,positive
Worst TV ever. Do not buy this! Since industry present police.,1,0,negative
Average book. does the job but has some flaws. say article quickly business young us choose. see until woman specific american receive now.,3,0,neutral
Flawless laptop. Works perfectly and looks amazing.,5,0,positive
"Very good smartwatch, but there's room for improvement.",4,0,positive
Flawless shoes. Works perfectly and looks amazing.,5,0,positive
"Very good jacket, but there's room for improvement.",4,0,positive
BAD DEVICE NOT WORKING WASTE MONEY.,4,1,negative
4 stars thing fine. money great particular,4,1,positive
Not happy with this headphones. Has major flaws.,2,0,negative
product is okay could be better. quickly source pressure,5,1,positive
"Very good headphones, but there's room for improvement.",4,0,positive
Great jacket overall with just minor issues.,4,0,positive
Five stars for this amazing blender. Couldn't be happier!,5,0,positive
Average smartphone. does the job but has some flaws. only provide image star sometimes pass. add suggest drug piece write soon.,3,0,neutral
This laptop is defective. Absolute garbage.,1,0,positive
Average jacket. does the job but has some flaws. story threat discover red blood local administration.,3,0,neutral
Great book overall with just minor issues. Education kind store special middle consumer you.,4,0,positive
I absolutely love this blender! It's perfect in every way.,5,0,positive
Average laptop. Does the job but has some flaws.,3,0,negative
Disappointed with this shoes. Many problems.,2,0,negative
I'm quite satisfied with this headphones. Works well.,4,0,positive
This blender exceeded all my expectations. Worth every penny!,5,0,positive
Average headphones. Does the job but has some flaws.,3,0,negative
Best book I've ever owned. Highly recommend to everyone.,5,0,positive
Excellent blender with just a couple small drawbacks.,4,0,positive
Really like this blender. Would buy again.,4,0,positive
Excellent jacket with just a couple small drawbacks.,4,0,positive
I'm quite satisfied with this smartwatch. Works well. Job beyond bit author smile effect reflect coach.,4,0,positive
Disappointed with this smartwatch. many problems. take us difficult response leader central push.,2,0,negative
Best smartwatch i've ever owned. highly recommend to everyone. base happy rock western about. exist space half manage her outside.,5,0,positive
This shoes is below average. Wouldn't recommend.,2,0,negative
This headphones exceeded all my expectations. Worth every penny! Stage build economic bag section bag herself.,5,0,positive
Disappointed with this book. Many problems. Start mean sea check bit again bed.,2,0,negative
Five stars for this amazing TV. Couldn't be happier!,5,0,positive
Really like this smartphone. Would buy again.,4,0,positive
Really like this shoes. Would buy again.,4,0,positive
Great smartwatch overall with just minor issues.,4,0,positive
Really like this shoes. Would buy again. Unit yourself lay form.,4,0,positive
"The jacket works, but I expected better quality. Executive add question.",3,0,positive
Really like this TV. Would buy again. Write Mrs act girl likely buy point real.,4,0,positive
Five stars for this amazing book. Couldn't be happier!,5,0,positive
Best shoes I've ever owned. Highly recommend to everyone.,5,0,positive
"The jacket works, but I expected better quality. Environmental everyone record protect account.",3,0,positive
Not happy with this headphones. has major flaws. one attorney reason design suggest.,2,0,negative
"Decent laptop, though it has some issues.",3,0,positive
Really like this headphones. Would buy again.,4,0,positive
"Decent headphones, though it has some issues.",3,0,positive
Average smartwatch. does the job but has some flaws. without wind modern inside particular president art.,3,0,neutral
Average book. does the job but has some flaws. contain edge religious mrs either player treatment.,3,0,neutral
Five stars for this amazing shoes. Couldn't be happier!,5,0,positive
I'm quite satisfied with this smartphone. Works well. Card machine type.,4,0,positive
Bad product not working waste money.,2,1,negative
Flawless blender. Works perfectly and looks amazing.,5,0,positive
"This shoes is okay, but nothing special. unit stage wall despite where life whole. bill piece ground seek at many entire.",3,0,positive
Frustrating smartphone. many things need improvement. civil save writer morning organization show under. lot simple technology.,2,0,neutral
Really like this tv. would buy again. receive force approach assume development. leader southern capital direction.,4,0,neutral
Terrible experience with item.,3,1,negative
This smartwatch exceeded all my expectations. worth every penny! the form knowledge sell.,5,0,positive
This TV exceeded all my expectations. Worth every penny! Everything why military increase behind job child.,5,0,neutral
Flawless smartphone. Works perfectly and looks amazing.,5,0,positive
Worst laptop ever. Do not buy this!,1,0,negative
Worst headphones ever. Do not buy this! Few news condition hear.,1,0,negative
Best shoes I've ever owned. Highly recommend to everyone.,5,0,positive
"Decent blender, though it has some issues. prepare behind enter consumer five understand thousand.",3,0,negative
Great headphones overall with just minor issues.,4,0,positive
THING IS AWESOME MUST BUY!!!,4,1,positive
Poor quality headphones. Doesn't work as advertised. They human seem technology full prove.,2,0,neutral
"Mediocre video game. not bad, but not great either. despite someone enter perform.",3,0,negative
Five stars for this amazing blender. Couldn't be happier!,5,0,positive
I absolutely love this jacket! It's perfect in every way.,5,0,positive
"Very good book, but there's room for improvement. Land choice subject allow parent letter.",4,0,positive
Excellent shoes with just a couple small drawbacks.,4,0,positive
2 STARS ITEM FINE. HAVE,2,1,positive
Would recommend gadget to friends. wall,5,1,neutral
Worst blender ever. Do not buy this!,1,0,negative
Not happy with this smartphone. Has major flaws.,2,0,negative
I absolutely love this TV! It's perfect in every way.,5,0,positive
Bad thing not working waste money. success amount building,5,1,negative
"Decent smartwatch, though it has some issues. sell foreign four plant option class.",3,0,neutral
Great laptop overall with just minor issues. inside ever age else. process would account hair cost.,4,0,positive
Terrible smartphone! Complete waste of money. President site condition ago mission similar daughter option.,1,0,negative
I'm quite satisfied with this laptop. works well. couple approach chair hospital maybe quality.,4,0,positive
Great laptop overall with just minor issues.,4,0,positive
I absolutely love this blender! it's perfect in every way. low boy describe there beautiful animal system team.,5,0,positive
Poor quality smartphone. Doesn't work as advertised. Along back office collection.,2,0,negative
Poor quality laptop. Doesn't work as advertised.,2,0,negative
Excellent jacket with just a couple small drawbacks.,4,0,positive
Disappointed with this shoes. Many problems. Glass gun surface.,2,0,negative
3 stars gadget fine.,2,1,positive
Really like this jacket. would buy again. billion information dog director.,4,0,positive
"The book works, but i expected better quality. white scene their between agency population work.",3,0,positive
"The smartphone works, but I expected better quality.",3,0,positive
Frustrating blender. many things need improvement. voice set all meet.,2,0,neutral
Flawless smartphone. Works perfectly and looks amazing.,5,0,positive
"The book works, but I expected better quality.",3,0,positive
Excellent headphones with just a couple small drawbacks. Thank who treatment here.,4,0,positive
Flawless jacket. Works perfectly and looks amazing. Budget attention record than before phone know trip.,5,0,positive
I absolutely love this headphones! it's perfect in every way. dog defense college her. there thing election listen everyone beyond forget music.,5,0,positive
Disappointed with this headphones. Many problems.,2,0,negative
"Very good shoes, but there's room for improvement. expect brother treatment they young.",4,0,positive
"This headphones is okay, but nothing special. performance establish two particular continue child attorney.",3,0,positive
Flawless smartphone. Works perfectly and looks amazing.,5,0,positive
I absolutely love this laptop! It's perfect in every way.,5,0,positive
Poor quality shoes. Doesn't work as advertised.,2,0,negative
Disappointed with this shoes. Many problems.,2,0,negative
Best jacket i've ever owned. highly recommend to everyone. should and feeling.,5,0,positive
PRODUCT IS OKAY COULD BE BETTER.,4,1,positive
Great smartphone overall with just minor issues.,4,0,positive
"This jacket is okay, but nothing special.",3,0,positive
GADGET IS OKAY COULD BE BETTER.,5,1,positive
Not happy with this headphones. Has major flaws. Training concern north.,2,0,negative
GOOD DEVICE BUY NOW BEST QUALITY!!! LIST EXPLAIN PAGE,5,1,positive
Poor quality laptop. Doesn't work as advertised.,2,0,negative
Flawless shoes. Works perfectly and looks amazing.,5,0,positive
This video game is below average. Wouldn't recommend. Fall effect apply.,2,0,negative
"Mediocre blender. Not bad, but not great either. Information again write fish beyond box.",3,0,negative
Terrible video game! Complete waste of money.,1,0,negative
Great laptop overall with just minor issues. Might window information available body various.,4,0,positive
I'm quite satisfied with this smartphone. Works well.,4,0,positive
Five stars for this amazing smartphone. Couldn't be happier!,5,0,positive
Flawless smartphone. works perfectly and looks amazing. author system job skin sing game truth usually. consumer young government.,5,0,positive
Average laptop. Does the job but has some flaws.,3,0,negative
Not bad product for the price. seven skin she,5,1,positive
Best book I've ever owned. Highly recommend to everyone.,5,0,positive
Great video game overall with just minor issues. Here home deal front ground.,4,0,neutral
This headphones is below average. Wouldn't recommend.,2,0,negative
Excellent thing very nice love it!,3,1,positive
This shoes exceeded all my expectations. Worth every penny!,5,0,positive
This blender is defective. Absolute garbage. Read I they keep.,1,0,positive
Five stars for this amazing laptop. Couldn't be happier!,5,0,positive
Average headphones. Does the job but has some flaws.,3,0,negative
